classe;control;produto;ano;litros
VINHO DE MESA;vm_Branco;  Branco;2005-01-01;39698976
VINHO DE MESA;vm_Branco;  Branco;2006-01-01;33116025
VINHO DE MESA;vm_Branco;  Branco;2007-01-01;29122090
VINHO DE MESA;vm_Branco;  Branco;2008-01-01;26627054
VINHO DE MESA;vm_Branco;  Branco;2009-01-01;39214217
VINHO DE MESA;vm_Branco;  Branco;2010-01-01;30556943
VINHO DE MESA;vm_Branco;  Branco;2011-01-01;32078923
VINHO DE MESA;vm_Branco;  Branco;2012-01-01;31266661
VINHO DE MESA;vm_Branco;  Branco;2013-01-01;31779668
VINHO DE MESA;vm_Branco;  Branco;2014-01-01;26734500
VINHO DE MESA;vm_Branco;  Branco;2015-01-01;25760681
VINHO DE MESA;vm_Branco;  Branco;2016-01-01;18731315
VINHO DE MESA;vm_Branco;  Branco;2017-01-01;20653091
VINHO DE MESA;vm_Branco;  Branco;2018-01-01;20097830
VINHO DE MESA;vm_Branco;  Branco;2019-01-01;20661836
VINHO DE MESA;vm_Branco;  Branco;2020-01-01;24589607
VINHO DE MESA;vm_Branco;  Branco;2021-01-01;22426954
VINHO DE MESA;vm_Branco;  Branco;2022-01-01;20658933
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1970-01-01;435354
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1971-01-01;428927
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1972-01-01;624499
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1973-01-01;783508
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1974-01-01;1616144
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1975-01-01;2050960
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1976-01-01;4450570
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1977-01-01;4504303
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1978-01-01;4920802
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1979-01-01;6360276
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1980-01-01;7244385
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1981-01-01;7403644
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1982-01-01;7699010
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1983-01-01;9811525
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1984-01-01;14797285
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1985-01-01;13133683
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1986-01-01;15664511
VINHO  FINO DE MESA;vfm_Tinto;  Tinto;1987-01-01;10144561
