classe;pais;ano;kg;valor
Espumantes;Bermudas;1998-01-01;0;0
Espumantes;Bermudas;1999-01-01;0;0
Espumantes;Bermudas;2000-01-01;0;0
Espumantes;Bermudas;2001-01-01;0;0
Espumantes;Bermudas;2002-01-01;0;0
Espumantes;Bermudas;2003-01-01;0;0
Espumantes;Bermudas;2004-01-01;0;0
Espumantes;Bermudas;2005-01-01;0;0
Espumantes;Bermudas;2006-01-01;0;0
Espumantes;Bermudas;2007-01-01;0;0
Espumantes;Bermudas;2008-01-01;0;0
Espumantes;Bermudas;2009-01-01;0;0
Espumantes;Bermudas;2010-01-01;0;0
Espumantes;Bermudas;2011-01-01;0;0
Espumantes;Bermudas;2012-01-01;0;0
Espumantes;Bermudas;2013-01-01;0;0
Espumantes;Bermudas;2014-01-01;0;0
Espumantes;Bermudas;2015-01-01;0;0
Espumantes;Bermudas;2016-01-01;0;0
Espumantes;Bermudas;2017-01-01;0;0
Espumantes;Bermudas;2018-01-01;0;0
Espumantes;Bermudas;2019-01-01;0;0
Espumantes;Bahamas;1971-01-01;0;0
Espumantes;Bahamas;1972-01-01;0;0
Espumantes;Bahamas;1973-01-01;0;0
Espumantes;Bahamas;1974-01-01;0;0
Espumantes;Bahamas;1975-01-01;0;0
Espumantes;Bahamas;1976-01-01;0;0
Espumantes;Bahamas;1977-01-01;0;0
Espumantes;Bahamas;1978-01-01;0;0
Espumantes;Bahamas;1979-01-01;0;0
Espumantes;Bahamas;1980-01-01;0;0
Espumantes;Bahamas;1981-01-01;0;0
Espumantes;Bahamas;1982-01-01;0;0
Espumantes;Bahamas;1983-01-01;0;0
Espumantes;Bahamas;1984-01-01;0;0
Espumantes;Bahamas;1985-01-01;0;0
Espumantes;Bahamas;1986-01-01;0;0
Espumantes;Bahamas;1987-01-01;0;0
Espumantes;Bahamas;1988-01-01;0;0
Espumantes;Bahamas;1989-01-01;0;0
Espumantes;Bahamas;1990-01-01;0;0
Espumantes;Bahamas;1991-01-01;0;0
Espumantes;Bahamas;1992-01-01;0;0
Espumantes;Bahamas;1993-01-01;0;0
Espumantes;Bahamas;1994-01-01;0;0
Espumantes;Bahamas;1995-01-01;0;0
Espumantes;Bahamas;1996-01-01;0;0
Espumantes;Bahamas;1997-01-01;0;0
Espumantes;Bahamas;1998-01-01;0;0
Espumantes;Bahamas;1999-01-01;0;0
Espumantes;Bahamas;2000-01-01;0;0
Espumantes;Bahamas;2001-01-01;0;0
Espumantes;Bahamas;2002-01-01;0;0
Espumantes;Bahamas;2003-01-01;0;0
Espumantes;Bahamas;2004-01-01;0;0
Espumantes;Bahamas;2005-01-01;0;0
Espumantes;Bahamas;2006-01-01;0;0
Espumantes;Bahamas;2007-01-01;0;0
Espumantes;Bahamas;2008-01-01;0;0
Espumantes;Bahamas;2009-01-01;0;0
Espumantes;Bahamas;2010-01-01;0;0
Espumantes;Bahamas;2011-01-01;0;0
Espumantes;Bahamas;2012-01-01;0;0
Espumantes;Bahamas;2013-01-01;0;0
Espumantes;Bahamas;2014-01-01;0;0
Espumantes;Bahamas;2015-01-01;73;684
Espumantes;Bahamas;2016-01-01;60;688
Espumantes;Bahamas;2017-01-01;519;11136
Espumantes;Bahamas;2018-01-01;169;2283
Espumantes;Bahamas;2019-01-01;0;0
Espumantes;Belgica;1971-01-01;0;0
Espumantes;Belgica;1972-01-01;0;0
Espumantes;Belgica;1973-01-01;0;0
Espumantes;Belgica;1974-01-01;0;0
Espumantes;Belgica;1975-01-01;0;0
Espumantes;Belgica;1976-01-01;0;0
Espumantes;Belgica;1977-01-01;0;0
Espumantes;Belgica;1978-01-01;0;0
Espumantes;Belgica;1979-01-01;0;0
Espumantes;Belgica;1980-01-01;0;0
Espumantes;Belgica;1981-01-01;0;0
Espumantes;Belgica;1982-01-01;0;0
Espumantes;Belgica;1983-01-01;0;0
Espumantes;Belgica;1984-01-01;0;0
Espumantes;Belgica;1985-01-01;0;0
Espumantes;Belgica;1986-01-01;0;0
Espumantes;Belgica;1987-01-01;0;0
Espumantes;Belgica;1988-01-01;0;0
Espumantes;Belgica;1989-01-01;0;0
Espumantes;Belgica;1990-01-01;0;0
Espumantes;Belgica;1991-01-01;0;0
Espumantes;Belgica;1992-01-01;0;0
Espumantes;Belgica;1993-01-01;0;0
Espumantes;Belgica;1994-01-01;0;0
Espumantes;Belgica;1995-01-01;0;0
Espumantes;Belgica;1996-01-01;0;0
Espumantes;Belgica;1997-01-01;0;0
Espumantes;Belgica;1998-01-01;0;0
Espumantes;Belgica;1999-01-01;0;0
Espumantes;Belgica;2000-01-01;0;0
Espumantes;Belgica;2001-01-01;0;0
Espumantes;Belgica;2002-01-01;0;0
Espumantes;Belgica;2003-01-01;0;0
Espumantes;Belgica;2004-01-01;0;0
Espumantes;Belgica;2005-01-01;0;0
Espumantes;Belgica;2006-01-01;0;0
Espumantes;Belgica;2007-01-01;0;0
Espumantes;Belgica;2008-01-01;0;0
Espumantes;Belgica;2009-01-01;0;0
Espumantes;Belgica;2010-01-01;0;0
Espumantes;Belgica;2011-01-01;0;0
Espumantes;Belgica;2012-01-01;0;0
Espumantes;Belgica;2013-01-01;0;0
Espumantes;Belgica;2014-01-01;0;0
Espumantes;Belgica;2015-01-01;0;0
Espumantes;Belgica;2016-01-01;0;0
Espumantes;Belgica;2017-01-01;923;50574
Espumantes;Belgica;2018-01-01;0;0
Espumantes;Belgica;2019-01-01;0;0
Espumantes;Brasil;1971-01-01;0;0
Espumantes;Brasil;1972-01-01;0;0
Espumantes;Brasil;1973-01-01;0;0
